name,isPopular,imageUrl
Mumbai,TRUE,https://assets-in.bmscdn.com/m6/images/common-modules/regions/mumbai-selected.png
Delhi-NCR,TRUE,https://assets-in.bmscdn.com/m6/images/common-modules/regions/ncr.png
Bengaluru,TRUE,https://assets-in.bmscdn.com/m6/images/common-modules/regions/bang.png
Hyderabad,TRUE,https://assets-in.bmscdn.com/m6/images/common-modules/regions/hyd.png
Chandigarh,TRUE,https://assets-in.bmscdn.com/m6/images/common-modules/regions/chd.png
Ahmedabad,TRUE,https://assets-in.bmscdn.com/m6/images/common-modules/regions/ahd.png
Chennai,TRUE,https://assets-in.bmscdn.com/m6/images/common-modules/regions/chen.png
Pune,TRUE,https://assets-in.bmscdn.com/m6/images/common-modules/regions/pune.png
Kolkata,TRUE,https://assets-in.bmscdn.com/m6/images/common-modules/regions/kolk.png
Kochi,TRUE,https://assets-in.bmscdn.com/m6/images/common-modules/regions/koch.png
Jaipur,FALSE,
Lucknow,FALSE,
Bhopal,FALSE,
Indore,FALSE,
Nagpur,FALSE,
Patna,FALSE,
Surat,FALSE,
Kanpur,FALSE,
Varanasi,FALSE,
Ludhiana,FALSE,
Agra,FALSE,
Allahabad,FALSE,
Meerut,FALSE,
Rajkot,FALSE,
Vadodara,FALSE,
Nashik,FALSE,
Aurangabad,FALSE,
Amritsar,FALSE,
Ranchi,FALSE,
Guwahati,FALSE,
Jodhpur,FALSE,
Raipur,FALSE,
Gwalior,FALSE,
Noida,FALSE,
Faridabad,FALSE,
Ghaziabad,FALSE,
Thiruvananthapuram,FALSE,
Madurai,FALSE,
Salem,FALSE,
Coimbatore,FALSE,
Mysuru,FALSE,
Mangalore,FALSE,
Hubli,FALSE,
Belgaum,FALSE,
Davangere,FALSE,
Udupi,FALSE,
Shimla,FALSE,
Dehradun,FALSE,
Haridwar,FALSE,
Rishikesh,FALSE,
Jammu,FALSE,
Srinagar,FALSE,
Leh,FALSE,
Katra,FALSE,
Shillong,FALSE,
Imphal,FALSE,
Aizawl,FALSE,
Kohima,FALSE,
Gangtok,FALSE,
Port Blair,FALSE,
Puducherry,FALSE,
Panaji,FALSE,
Margao,FALSE,
Daman,FALSE,
Silvassa,FALSE,
Itanagar,FALSE,
Agartala,FALSE,
Bhubaneswar,FALSE,
Cuttack,FALSE,
Jabalpur,FALSE,
Gorakhpur,FALSE,
Aligarh,FALSE,
Bareilly,FALSE,
Moradabad,FALSE,
Saharanpur,FALSE,
Guntur,FALSE,
Vijayawada,FALSE,
Tirupati,FALSE,
Nellore,FALSE,
Warangal,FALSE,
Karimnagar,FALSE,
Nizamabad,FALSE,
Kolhapur,FALSE,
Solapur,FALSE,
Satara,FALSE,
Sangli,FALSE,
Ratnagiri,FALSE,
Palghar,FALSE,
Panvel,FALSE,
Howrah,FALSE,
Durgapur,FALSE,
Asansol,FALSE,
Siliguri,FALSE,
Darjeeling,FALSE,
Kharagpur,FALSE,
Muzaffarpur,FALSE,
Bhagalpur,FALSE,
Gaya,FALSE,
Begusarai,FALSE,
