name,isPopular,imageUrl
Mumbai,TRUE,/images/mumbai.png
Delhi-NCR,TRUE,/images/NCR.png
Bengaluru,TRUE,/images/Bengaluru.png
Hyderabad,TRUE,/images/Hyderabad.png
Chandigarh,TRUE,/images/Chandigarh.png
Ahmedabad,TRUE,/images/Ahmedabad.png
Chennai,TRUE,/images/Chennai.png
Pune,TRUE,/images/Pune.png
Kolkata,TRUE,/images/Kolkata.png
Kochi,TRUE,/images/Kochi.png
Jaipur,FALSE,
Lucknow,FALSE,
Bhopal,FALSE,
Indore,FALSE,
Nagpur,FALSE,
Patna,FALSE,
Surat,FALSE,
Kanpur,FALSE,
Varanasi,FALSE,
Ludhiana,FALSE,
Agra,FALSE,
Allahabad,FALSE,
Meerut,FALSE,
Rajkot,FALSE,
Vadodara,FALSE,
Nashik,FALSE,
Aurangabad,FALSE,
Amritsar,FALSE,
Ranchi,FALSE,
Guwahati,FALSE,
Jodhpur,FALSE,
Raipur,FALSE,
Gwalior,FALSE,
Noida,FALSE,
Faridabad,FALSE,
Ghaziabad,FALSE,
Thiruvananthapuram,FALSE,
Madurai,FALSE,
Salem,FALSE,
Coimbatore,FALSE,
Mysuru,FALSE,
Mangalore,FALSE,
Hubli,FALSE,
Belgaum,FALSE,
Davangere,FALSE,
Udupi,FALSE,
Shimla,FALSE,
Dehradun,FALSE,
Haridwar,FALSE,
Rishikesh,FALSE,
Jammu,FALSE,
Srinagar,FALSE,
Leh,FALSE,
Katra,FALSE,
Shillong,FALSE,
Imphal,FALSE,
Aizawl,FALSE,
Kohima,FALSE,
Gangtok,FALSE,
Port Blair,FALSE,
Puducherry,FALSE,
Panaji,FALSE,
Margao,FALSE,
Daman,FALSE,
Silvassa,FALSE,
Itanagar,FALSE,
Agartala,FALSE,
Bhubaneswar,FALSE,
Cuttack,FALSE,
Jabalpur,FALSE,
Gorakhpur,FALSE,
Aligarh,FALSE,
Bareilly,FALSE,
Moradabad,FALSE,
Saharanpur,FALSE,
Guntur,FALSE,
Vijayawada,FALSE,
Tirupati,FALSE,
Nellore,FALSE,
Warangal,FALSE,
Karimnagar,FALSE,
Nizamabad,FALSE,
Kolhapur,FALSE,
Solapur,FALSE,
Satara,FALSE,
Sangli,FALSE,
Ratnagiri,FALSE,
Palghar,FALSE,
Panvel,FALSE,
Howrah,FALSE,
Durgapur,FALSE,
Asansol,FALSE,
Siliguri,FALSE,
Darjeeling,FALSE,
Kharagpur,FALSE,
Muzaffarpur,FALSE,
Bhagalpur,FALSE,
Gaya,FALSE,
Begusarai,FALSE,
